lakeid,year,sampledate,depth,ph,alk,dic,tic,doc,toc,no2,totnf,totnuf,totpf,totpuf,drsif,brsif,brsiuf,tpm,chlor,phaeo
SP,2003,9/16/2003,0,8.12,NA,8.32,8.33,3.44,3.49,NA,298,307,4,5,2116,NA,NA,0.57,1.4,0.1
SP,2003,10/1/2003,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,0.2
SP,2003,10/14/2003,0,7.98,NA,8.74,8.81,3.8,4.05,NA,285,403,0,5,2060,NA,NA,1.13,1.5,0
SP,2003,10/28/2003,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,-0.3
SP,2003,11/13/2003,0,7.26,672,7.33,6.92,5.27,5.54,NA,306,258,3,7,2569,NA,NA,0.24,2.3,1.8
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
