lakeid,year,group,sampledate,depth,from group,at zero,phaeo,depth integrated
SP,2002,iceoff surface,10/9/2002,0,3.6,3.6,-0.9,3.933333333
SP,2002,iceoff depth,10/9/2002,0,3.933333333,,-0.9,3.933333333
SP,2002,iceoff surface,10/24/2002,0,3.7,3.7,0.7,4.205555556
SP,2002,iceoff depth,10/24/2002,0,4.205555556,,0.7,4.205555556
SP,2002,iceoff surface,11/7/2002,0,4,4,-0.1,3.783333333
SP,2002,iceoff depth,11/7/2002,0,3.783333333,,-0.1,3.783333333
SP,2003,iceon surface,1/15/2003,0,1.4,1.4,0,3.583333333
SP,2003,iceon depth,1/15/2003,0,3.583333333,,0,3.583333333
SP,2003,iceon surface,3/6/2003,0,9,9,0.8,2.783333333
SP,2003,iceon depth,3/6/2003,0,2.783333333,,0.8,2.783333333
SP,2003,iceon surface,4/2/2003,0,16.2,16.2,7.3,11.47222222
SP,2003,iceon depth,4/2/2003,0,11.47222222,,7.3,11.47222222
SP,2003,iceoff surface,4/29/2003,0,3.4,3.4,0.1,3.683333333
SP,2003,iceoff depth,4/29/2003,0,3.683333333,,0.1,3.683333333
SP,2003,iceoff surface,5/14/2003,0,-0.9,-0.9,6.1,4.905555556
SP,2003,iceoff depth,5/14/2003,0,4.905555556,,6.1,4.905555556
SP,2003,iceoff surface,5/30/2003,0,2.3,2.3,-0.3,3.466666667
SP,2003,iceoff depth,5/30/2003,0,3.466666667,,-0.3,3.466666667
SP,2003,iceoff surface,6/9/2003,0,1.6,1.6,-0.7,4.1
SP,2003,iceoff depth,6/9/2003,0,4.1,,-0.7,4.1
SP,2003,iceoff surface,6/23/2003,0,1.1,1.1,0.1,2.938888889
SP,2003,iceoff depth,6/23/2003,0,2.938888889,,0.1,2.938888889
SP,2003,iceoff surface,7/7/2003,0,0.5,0.5,0.9,2.6
SP,2003,iceoff depth,7/7/2003,0,2.6,,0.9,2.6
