"lakeid","sampledate","depth","chlor"
"TB","2004-03-29",0,41.6
"TB","2004-04-26",0,41.1
"TB","2004-05-13",0,1.4
"TB","2004-05-25",0,15.4
"TB","2004-06-09",0,8
"TB","2004-06-21",0,3.2
"TB","2004-06-21",0,3
"TB","2004-07-06",0,8.5
"TB","2004-07-19",0,4.2
"TB","2004-08-03",0,5.5
"TB","2004-08-03",0,6
"TB","2004-08-17",0,4.9
"TB","2004-08-17",0,6.6
"TB","2004-08-31",0,23
"TB","2004-09-10",0,7.5
"TB","2004-09-28",0,34.6
"TB","2004-09-28",0,39.8
"TB","2004-10-12",0,14.4
"TB","2004-10-26",0,9.3
"TB","2004-11-11",0,25.2
"TB","2005-01-20",0,304.2
"TB","2005-02-15",0,139.4
"TB","2005-03-31",0,1.4
"TB","2005-04-18",0,5.6
"TB","2005-04-18",0,5.7
"TB","2005-05-04",0,13.1
"TB","2005-05-18",0,7.6
"TB","2005-06-01",0,5.5
"TB","2005-06-16",0,8
"TB","2005-06-28",0,6.3
"TB","2005-07-11",0,9.3
"TB","2005-07-11",0,5.7
"TB","2005-07-25",0,3.3
"TB","2005-08-08",0,5.6
"TB","2005-08-22",0,15.6
"TB","2005-08-22",0,17.9
"TB","2005-09-08",0,15.8
"TB","2005-09-22",0,25.4
"TB","2005-09-22",0,30.4
"TB","2005-10-05",0,23.8
"TB","2005-10-19",0,44.2
"TB","2005-11-17",0,22.7
"TB","2006-01-12",0,133
"TB","2006-02-22",0,3.9
"TB","2006-03-29",0,7.9
"TB","2006-04-18",0,29.6
"TB","2006-05-01",0,22.1
"TB","2006-05-18",0,27
"TB","2006-05-18",0,10.9
"TB","2006-06-01",0,9.1
"TB","2006-06-12",0,10.5
"TB","2006-06-26",0,7.3
"TB","2006-07-11",0,6
"TB","2006-07-11",0,5.6
"TB","2006-07-24",0,5.9
"TB","2006-08-08",0,7.4
"TB","2006-08-22",0,21.2
"TB","2006-09-07",0,5
"TB","2006-09-19",0,14.6
"TB","2006-09-19",0,13.8
"TB","2006-10-02",0,4.3
"TB","2006-10-17",0,11.8
"TB","2006-11-01",0,5.2
"TB","2007-01-23",0,5.2
"TB","2007-02-21",0,5
"TB","2007-03-27",0,18.3
"TB","2007-04-25",0,2.6
"TB","2007-05-22",0,1.5
"TB","2007-06-05",0,3.2
"TB","2007-06-05",0,3.5
"TB","2007-06-18",0,11.6
"TB","2007-06-18",0,13.3
"TB","2007-07-05",0,5.9
"TB","2007-07-17",0,4.3
"TB","2007-08-02",0,8.1
"TB","2007-08-13",0,16.3
"TB","2007-08-29",0,100.5
"TB","2007-09-13",0,16.1
"TB","2007-09-26",0,5.4
"TB","2007-10-09",0,24.4
"TB","2007-10-24",0,19.9
"TB","2007-10-24",0,22.4
"TB","2007-11-15",0,4.4
"TB","2008-01-28",0,6.8
"TB","2008-02-25",0,1.8
"TB","2008-03-27",0,1.9
"TB","2008-05-08",0,7.9
"TB","2008-05-08",0,8
"TB","2008-05-21",0,4.9
"TB","2008-06-03",0,3.1
"TB","2008-06-20",0,12.8
"TB","2008-06-20",0,4.9
"TB","2008-06-30",0,10.4
"TB","2008-06-30",0,10.9
"TB","2008-07-28",0,2.1
