lakeid,sampledate,depth,chlor
TB,1985-05-13,7.00,3.9
TB,1985-05-31,0.00,18.3
TB,1985-05-31,2.00,134.7
TB,1985-05-31,3.00,11.7
TB,1985-05-31,5.00,3.0
TB,1985-05-31,5.00,3.5
TB,1985-05-31,7.00,2.9
TB,1985-06-12,0.00,8.7
TB,1985-06-12,1.00,18.0
TB,1985-06-12,2.00,85.6
TB,1985-06-12,2.00,64.8
TB,1985-06-12,3.00,18.8
TB,1985-06-12,5.00,5.8
TB,1985-06-12,7.00,2.4
TB,1985-06-27,0.00,4.7
TB,1985-06-27,2.00,134.5
TB,1985-06-27,3.00,21.0
TB,1985-06-27,3.00,15.5
TB,1985-06-27,5.00,10.2
TB,1985-06-27,7.00,8.1
TB,1985-07-11,0.00,7.1
TB,1985-07-11,1.00,17.2
TB,1985-07-11,2.00,74.1
TB,1985-07-11,3.00,20.7
TB,1985-07-11,5.00,11.2
TB,1985-07-11,7.00,9.1
TB,1985-07-11,7.00,7.7
TB,1985-07-24,0.00,15.9
TB,1985-07-24,2.00,23.1
TB,1985-07-24,3.00,37.6
TB,1985-07-24,5.00,8.5
TB,1985-07-24,7.00,5.1
TB,1985-07-24,7.00,4.2
TB,1985-08-06,0.00,5.5
TB,1985-08-06,1.00,12.7
TB,1985-08-06,2.00,18.0
TB,1985-08-06,3.00,59.7
TB,1985-08-06,5.00,15.3
TB,1985-08-06,7.00,7.6
TB,1985-08-06,7.00,3.8
TB,1985-08-21,0.00,12.4
TB,1985-08-21,2.00,8.4
TB,1985-08-21,3.00,78.6
TB,1985-08-21,5.00,27.9
TB,1985-08-21,7.00,10.2
TB,1985-08-21,7.00,11.9
TB,1985-09-09,0.00,16.3
TB,1985-09-09,2.00,11.5
TB,1985-09-09,3.00,80.2
TB,1985-09-09,3.00,82.4
TB,1985-09-09,5.00,41.9
TB,1985-09-09,7.00,23.4
TB,1985-10-01,0.00,13.4
TB,1985-10-01,2.00,12.8
TB,1985-10-01,3.00,13.2
TB,1985-10-01,5.00,49.6
TB,1985-10-01,5.00,46.4
TB,1985-10-01,7.00,19.2
TB,1985-10-23,0.00,4.2
TB,1985-10-23,2.00,4.3
TB,1985-10-23,3.00,4.7
TB,1985-10-23,5.00,57.1
TB,1985-10-23,7.00,19.2
TB,1985-10-23,7.00,15.0
TB,1985-11-12,0.00,13.3
TB,1985-11-12,2.00,8.2
TB,1985-11-12,3.00,8.6
TB,1985-11-12,3.00,8.0
TB,1985-11-12,5.00,5.5
TB,1985-11-12,7.00,5.8
TB,1986-01-10,2.00,4.8
TB,1986-01-10,3.00,3.4
TB,1986-01-10,5.00,2.8
TB,1986-01-10,5.00,3.3
TB,1986-01-10,7.00,2.1
TB,1986-02-25,0.00,7.7
TB,1986-02-25,2.00,1.5
TB,1986-02-25,3.00,0.3
TB,1986-02-25,5.00,0.1
TB,1986-02-25,7.00,0.6
TB,1986-02-25,7.00,0.4
TB,1986-03-31,0.00,12.0
TB,1986-03-31,2.00,0.4
