lakeid,year4,sampledate,depth,deck,light,frlight
SP,1983,1983-09-06,14.00,,,
SP,1983,1983-09-06,16.00,,,
SP,1983,1983-09-06,18.00,,,
SP,1983,1983-09-27,1.00,772,400.00,0.518000
SP,1983,1983-09-27,3.00,725,200.00,0.276000
SP,1983,1983-09-27,5.00,730,107.00,0.147000
SP,1983,1983-09-27,7.00,729,57.50,0.079000
SP,1983,1983-09-27,9.00,725,33.20,0.046000
SP,1983,1983-09-27,11.00,715,18.10,0.025000
SP,1983,1983-09-27,13.00,695,9.10,0.013000
SP,1983,1983-09-27,15.00,725,4.73,0.007000
SP,1983,1983-09-27,16.00,695,3.03,0.004000
SP,1983,1983-09-27,18.00,678,0.16,0.000000
SP,1983,1983-10-17,0.00,,,
SP,1983,1983-10-17,2.00,990,320.00,0.323000
SP,1983,1983-10-17,4.00,990,155.00,0.157000
SP,1983,1983-10-17,6.00,990,71.00,0.072000
SP,1983,1983-10-17,8.00,990,38.00,0.038000
SP,1983,1983-10-17,10.00,990,21.30,0.022000
SP,1983,1983-10-17,12.00,990,11.60,0.012000
SP,1983,1983-10-17,14.00,990,6.10,0.006000
SP,1983,1983-10-17,16.00,990,1.13,0.001000
SP,1983,1983-10-17,18.00,990,0.03,0.000000
SP,1983,1983-11-02,1.00,246,80.50,0.327000
SP,1983,1983-11-02,3.00,243,43.80,0.180000
SP,1983,1983-11-02,5.00,249,25.60,0.103000
SP,1983,1983-11-02,7.00,258,13.80,0.053000
SP,1983,1983-11-02,9.00,260,7.35,0.028000
SP,1983,1983-11-02,11.00,267,4.05,0.015000
SP,1983,1983-11-02,13.00,288,2.82,0.010000
SP,1983,1983-11-02,15.00,308,1.32,0.004000
SP,1983,1983-11-02,17.00,328,0.11,0.000000
SP,1983,1983-11-15,0.00,145,115.00,0.793000
SP,1983,1983-11-15,2.00,134,20.50,0.153000
SP,1983,1983-11-15,4.00,124,7.80,0.063000
SP,1983,1983-11-15,6.00,123,3.05,0.025000
SP,1983,1983-11-15,8.00,122,1.12,0.009000
SP,1983,1983-11-15,10.00,122,0.42,0.003000
SP,1983,1983-11-15,12.00,119,0.15,0.001000
SP,1983,1983-11-15,14.00,120,0.05,0.000000
SP,1983,1983-11-15,16.00,112,0.02,0.000000
SP,1983,1983-11-15,18.00,110,0.00,0.000000
SP,1983,1983-11-29,0.00,225,200.00,0.889000
SP,1983,1983-11-29,2.00,245,58.00,0.237000
SP,1983,1983-11-29,4.00,255,29.50,0.116000
SP,1983,1983-11-29,6.00,260,14.00,0.054000
SP,1983,1983-11-29,8.00,260,6.80,0.026000
SP,1983,1983-11-29,10.00,260,3.20,0.012000
SP,1983,1983-11-29,12.00,265,1.55,0.006000
SP,1983,1983-11-29,14.00,290,0.80,0.003000
SP,1983,1983-11-29,16.00,300,0.44,0.001000
SP,1983,1983-11-29,18.00,310,0.20,0.001000
SP,1984,1984-01-06,0.00,,,
SP,1984,1984-01-06,2.00,,,
