lakeid,sampledate,depth,chlor.surf
TB,9/29/03,0,85.8
TB,10/14/03,0,9.6
TB,10/27/03,0,11.6
TB,11/7/03,0,7.4
TB,1/21/04,0,94.1
TB,2/19/04,0,9.5
TB,3/29/04,0,41.6
TB,4/26/04,0,41.1
TB,5/13/04,0,1.4
TB,5/25/04,0,15.4
TB,6/9/04,0,8
TB,6/21/04,0,3.2
TB,7/6/04,0,8.5
TB,7/19/04,0,4.2
TB,8/3/04,0,5.5
TB,8/17/04,0,4.9
TB,8/31/04,0,23
TB,9/10/04,0,7.5
TB,9/28/04,0,34.6
TB,10/12/04,0,14.4
TB,10/26/04,0,9.3
TB,11/11/04,0,25.2
TB,1/20/05,0,304.2
TB,2/15/05,0,139.4
TB,3/31/05,0,1.4
TB,4/18/05,0,5.6
TB,5/4/05,0,13.1
TB,5/18/05,0,7.6
TB,6/1/05,0,5.5
TB,6/16/05,0,8
TB,6/28/05,0,6.3
TB,7/11/05,0,9.3
TB,7/25/05,0,3.3
TB,8/8/05,0,5.6
TB,8/22/05,0,15.6
TB,9/8/05,0,15.8
TB,9/22/05,0,25.4
TB,10/5/05,0,23.8
TB,10/19/05,0,44.2
TB,11/17/05,0,22.7
TB,1/12/06,0,133
TB,2/22/06,0,3.9
TB,3/29/06,0,7.9
TB,4/18/06,0,29.6
TB,5/1/06,0,22.1
TB,5/18/06,0,27
TB,6/1/06,0,9.1
TB,6/12/06,0,10.5
TB,6/26/06,0,7.3
TB,7/11/06,0,6
TB,7/24/06,0,5.9
TB,8/8/06,0,7.4
TB,8/22/06,0,21.2
TB,9/7/06,0,5
TB,9/19/06,0,14.6
TB,10/2/06,0,4.3
TB,10/17/06,0,11.8
TB,11/1/06,0,5.2
TB,1/23/07,0,5.2
TB,2/21/07,0,5
TB,3/27/07,0,18.3
TB,4/25/07,0,2.6
TB,5/22/07,0,1.5
TB,6/5/07,0,3.2
TB,6/18/07,0,11.6
TB,7/5/07,0,5.9
TB,7/17/07,0,4.3
TB,8/2/07,0,8.1
TB,8/13/07,0,16.3
TB,8/29/07,0,100.5
TB,9/13/07,0,16.1
TB,9/26/07,0,5.4
TB,10/9/07,0,24.4
TB,10/24/07,0,19.9
TB,11/15/07,0,4.4
TB,1/28/08,0,6.8
TB,2/25/08,0,1.8
TB,3/27/08,0,1.9
TB,5/8/08,0,7.9
TB,5/21/08,0,4.9
TB,6/3/08,0,3.1
TB,6/20/08,0,12.8
TB,6/30/08,0,10.4
TB,7/28/08,0,2.1
TB,8/13/08,0,6.4
TB,8/26/08,0,5.9
TB,9/11/08,0,11
TB,9/23/08,0,75.6
TB,10/6/08,0,74.6
TB,10/21/08,0,9.7
TB,11/11/08,0,7
TB,1/22/09,0,98.6
TB,2/17/09,0,5.9
TB,3/25/09,0,13.3
TB,4/28/09,0,145.2
TB,5/14/09,0,106.3
TB,5/29/09,0,5.8
TB,6/9/09,0,6.3
TB,6/22/09,0,7.4
TB,7/6/09,0,19
TB,7/21/09,0,12.4
TB,8/5/09,0,1.9
TB,8/17/09,0,4.1
TB,9/2/09,0,21.4
TB,9/15/09,0,5.3
TB,9/28/09,0,7.1
TB,10/12/09,0,22.5
TB,10/27/09,0,25.2
TB,11/16/09,0,10.1
TB,1/14/10,0,1.8
TB,2/22/10,0,1.5
TB,4/13/10,0,12.1
TB,4/26/10,0,4.9
TB,5/11/10,0,10
TB,5/25/10,0,8.8
TB,6/10/10,0,5.1
TB,6/23/10,0,10.4
TB,7/7/10,0,2.7
TB,7/22/10,0,2
TB,8/3/10,0,9.9
TB,8/16/10,0,6.5
TB,9/1/10,0,9.1
TB,9/14/10,0,26.1
TB,9/28/10,0,3.6
TB,10/11/10,0,1.8
TB,10/26/10,0,3.1
TB,11/15/10,0,2
TB,1/24/11,0,2.3
TB,2/15/11,0,1.6
TB,3/16/11,0,6.6
TB,5/3/11,0,23.6
TB,5/18/11,0,10.7
TB,6/1/11,0,6.1
TB,6/14/11,0,5.2
TB,6/27/11,0,8.1
TB,7/13/11,0,4.2
TB,7/25/11,0,6.1
TB,8/9/11,0,6.3
TB,8/23/11,0,20.9
TB,9/9/11,0,54.6
TB,9/20/11,0,43.7
TB,10/3/11,0,48.9
TB,10/18/11,0,43.7
TB,11/1/11,0,51.7
TB,11/11/11,0,20.1
TB,1/10/12,0,3.1
TB,2/20/12,0,32.5
TB,4/2/12,0,34
TB,4/16/12,0,22.7
TB,5/2/12,0,4.3
TB,5/15/12,0,9
TB,5/30/12,0,6.4
TB,5/30/12,0,6.7
TB,6/11/12,0,3.3
TB,6/26/12,0,7.8
TB,7/11/12,0,15.4
TB,7/23/12,0,3.4
TB,8/9/12,0,12.1
TB,8/21/12,0,42.9
TB,9/7/12,0,9.5
TB,9/19/12,0,23.7
TB,10/30/12,0,2.3
TB,11/5/12,0,1.5
TB,1/28/13,0,2.8
TB,2/18/13,0,1.3
TB,3/27/13,0,6.8
TB,5/13/13,0,16.1
TB,6/13/13,0,10.4
TB,6/25/13,0,10.3
TB,7/10/13,0,21.7
TB,8/6/13,0,6.1
TB,8/22/13,0,15.4
TB,9/4/13,0,40.7
TB,9/30/13,0,12.3
TB,10/29/13,0,25.8
TB,11/8/13,0,21.5
TB,1/24/14,0,191.3
TB,2/20/14,0,4.5
TB,3/28/14,0,5
TB,5/21/14,0,15.7
TB,6/16/14,0,5.3
TB,7/16/14,0,6.3
TB,7/29/14,0,6.8
TB,8/11/14,0,6.2
TB,8/25/14,0,6.9
TB,9/9/14,0,19.6
TB,9/23/14,0,14.6
TB,10/6/14,0,26.8
TB,10/20/14,0,11.4
TB,11/7/14,0,14.2
TB,1/20/15,0,2
TB,3/6/15,0,3.5
TB,3/24/15,0,9.7
TB,4/21/15,0,13
TB,5/4/15,0,11.1
TB,5/21/15,0,21.4
TB,6/3/15,0,5
TB,6/17/15,0,9
TB,7/1/15,0,7.7
TB,7/15/15,0,5.3
TB,7/28/15,0,8.4
TB,8/11/15,0,7.2
TB,8/25/15,0,11.3
TB,9/10/15,0,142.2
TB,9/22/15,0,11.5
TB,10/5/15,0,5.5
TB,10/20/15,0,9.2
TB,11/17/15,0,4.3
TB,1/25/16,0,39.4
TB,2/24/16,0,41.9
TB,4/22/16,0,15.5
TB,5/9/16,0,10.6
TB,6/7/16,0,22.3
TB,6/22/16,0,11.7
TB,7/6/16,0,9.7
TB,7/19/16,0,15.7
TB,8/1/16,0,7.9
TB,8/16/16,0,17.5
TB,8/31/16,0,39.8
TB,9/14/16,0,36.4
TB,10/10/16,0,41.8
TB,10/26/16,0,22.5
TB,11/16/16,0,194
TB,1/20/17,0,46.2
TB,2/17/17,0,121.1
TB,4/19/17,0,147.6
TB,5/2/17,0,40.7
TB,5/18/17,0,9.6
TB,5/31/17,0,10.6
TB,6/15/17,0,4.1
TB,6/26/17,0,23
TB,7/10/17,0,18
TB,7/26/17,0,22.2
TB,8/7/17,0,7.1
TB,8/23/17,0,14
TB,9/6/17,0,50.4
TB,9/18/17,0,179
TB,10/2/17,0,150.1
TB,10/18/17,0,8
TB,11/6/17,0,3
TB,1/19/18,0,11.8
TB,2/23/18,0,9.6
TB,3/28/18,0,118.3
TB,5/16/18,0,14.6
TB,5/30/18,0,14.7
TB,6/12/18,0,8.5
TB,6/26/18,0,6
TB,7/10/18,0,5.3
TB,7/24/18,0,16
TB,8/6/18,0,7.8
TB,8/21/18,0,10.4
TB,9/6/18,0,29.3
TB,9/18/18,0,9.5
TB,10/1/18,0,13.4
TB,10/17/18,0,4.2
TB,11/6/18,0,10.3
