lakeid,sampledate,wtemp,o2,o2sat,cond,frlight,chlor.surf,chlor.int,phaeo,ph,phair,alk,dic,tic,doc,toc,no3no2,no2,nh4,totnf,totnuf,totpf,totpuf,drsif,brsif,brsiuf,tpm,cl,so4,ca,mg,na,k,fe,mn,sampledate.y,avsnow,totice,whiteice,blueice,iceduration,season,bv.datePlus1.x,bv.dateMinus1.x
TB,5/22/84,7.72,3.62,35.59,23.15,0.1,10.1,10.07,1.55,4.5,NA,NA,NA,NA,NA,NA,3.72,NA,288.95,NA,NA,NA,NA,759.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,6/4/84,8.73,2.64,27.79,24.76,0.1,5.6,9.73,2.67,4.49,NA,NA,NA,NA,NA,NA,0,NA,141.94,NA,NA,NA,NA,773.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,6/19/84,10.51,2.29,26.59,22.91,0.09,2.4,9.3,2.3,4.64,NA,NA,NA,NA,NA,NA,2.1,NA,148.54,NA,NA,NA,NA,692.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,7/2/84,10.52,2.24,26.28,23.82,0.11,5.2,16.93,1.61,4.68,NA,NA,NA,NA,NA,NA,0.22,NA,177.33,NA,NA,NA,NA,701.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,7/17/84,10.37,2.09,24.19,22.29,0.11,24,17.31,1.38,4.71,NA,NA,NA,NA,NA,NA,0.46,NA,121.58,NA,NA,NA,NA,572.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,8/1/84,11.86,2.33,28.35,24.94,0.11,29,30.03,2.06,4.69,NA,NA,NA,NA,NA,NA,0,NA,221.9,NA,NA,NA,NA,703.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,8/15/84,12.61,2.09,25.62,23.11,0.11,1.4,13.79,7.57,4.61,NA,-10.75,NA,NA,NA,NA,0,NA,280.02,NA,NA,17.64,NA,661.07,NA,NA,NA,0.28,2.31,1.44,0.44,0.14,0.66,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,9/6/84,11.13,2.99,32.32,24.23,0.11,29.4,9.96,16.65,4.65,NA,NA,NA,NA,NA,NA,2.47,NA,338.12,NA,NA,NA,NA,980.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,9/27/84,9.69,3.01,30.1,19.76,0.11,46,20.97,20.27,4.62,NA,NA,NA,NA,NA,NA,1.73,NA,153.63,NA,NA,NA,NA,607.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,10/17/84,9.16,3.86,37.43,24.83,0.14,10.7,10.55,9.27,4.57,NA,NA,NA,NA,NA,NA,0.91,NA,264.37,NA,NA,NA,NA,688.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,11/8/84,4.31,4.01,32.76,23,0.09,8,4.43,2.44,4.5,NA,-1.13,NA,NA,NA,NA,3.28,NA,138.61,NA,NA,9.4,NA,724,NA,NA,NA,0.28,2.94,1.24,0.43,0.17,0.65,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,1/15/85,2.68,3.19,24.4,23.56,0.09,160.9,20.79,2.47,4.53,NA,NA,NA,NA,NA,NA,4.29,NA,220.06,NA,NA,NA,NA,815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/15/85,14.8,26,6,20,160,1,1/16/85,1/14/85
TB,2/27/85,2.5,2.62,19.74,22.83,0.1,5.6,2.55,2.33,4.63,NA,8.91,NA,NA,NA,NA,6.66,NA,261.91,NA,NA,21.22,NA,885.44,NA,NA,NA,0.3,2.78,1.45,0.45,0.18,0.7,NA,NA,2/27/85,5.4,31,7,24,160,1,2/28/85,2/26/85
TB,3/25/85,2.81,3.04,23.17,22.3,0.1,38.7,14.87,4.91,4.65,NA,NA,NA,NA,NA,NA,0,NA,248.92,NA,NA,NA,NA,906.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/25/85,2.5,47,18,29,160,1,3/26/85,3/24/85
TB,4/10/85,NA,NA,NA,NA,NA,36,14.52,5.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/10/85,0,48,24,24,160,1,4/11/85,4/9/85
TB,4/29/85,5.36,2.51,22.58,21.93,0.1,5.5,5.85,2.1,4.62,NA,-7.98,NA,NA,NA,NA,0,NA,228.57,NA,NA,13,NA,733.84,NA,NA,NA,0.24,2.54,1.25,0.42,0.17,0.6,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,5/13/85,7.52,2.24,23.51,22.75,0.11,2.8,8.75,1.09,4.52,NA,NA,NA,NA,NA,NA,1.34,NA,171.95,NA,NA,NA,NA,753.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,5/31/85,7.77,2.11,22.53,22.11,0.1,18.3,41.42,1.26,4.48,NA,NA,NA,NA,NA,NA,3.29,NA,114.97,NA,NA,NA,NA,819.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,6/12/85,8.73,2.31,25.13,23.34,0.1,8.7,24.09,1.47,4.45,NA,NA,NA,NA,NA,NA,0,0,164.18,NA,NA,NA,NA,859.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,6/27/85,9.68,2.4,27.7,24.16,0.09,4.7,43.26,6.97,4.42,NA,NA,NA,NA,NA,NA,0.56,NA,129.87,NA,NA,NA,NA,792.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,7/11/85,10.38,2.09,24.65,22.36,0.1,7.1,24.3,3.93,4.55,NA,NA,NA,NA,NA,NA,1.37,NA,117.45,NA,NA,NA,NA,781.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,7/24/85,10.92,2.12,24.68,21.96,0.1,15.9,19.59,5.08,4.59,NA,NA,NA,NA,NA,NA,1.56,NA,86.49,NA,NA,NA,NA,758.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,8/6/85,11.57,1.92,23.36,24.81,0.09,5.5,23.34,8.97,4.48,NA,NA,NA,NA,NA,NA,3.05,NA,197.03,NA,NA,NA,NA,871.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,8/21/85,10.32,1.78,19.14,24.4,0.1,12.4,29.36,7.21,4.5,NA,-1.43,3.02,NA,17.64,NA,1.94,NA,156.27,NA,NA,10.76,NA,819.09,NA,NA,NA,0.26,2.15,1.27,0.4,0.18,0.64,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,9/9/85,10.98,2.02,22.82,21.77,0.1,16.3,35.95,4.61,4.54,NA,NA,NA,NA,NA,NA,2.22,NA,46.71,NA,NA,NA,NA,708.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,10/1/85,7.71,3.39,31.31,22.06,0.11,13.4,22.4,5.33,4.53,NA,NA,NA,NA,NA,NA,0,NA,140.68,NA,NA,NA,NA,775.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,10/23/85,6.65,3.98,35.31,22.24,0.11,4.2,18.49,3.28,4.46,NA,NA,NA,NA,NA,NA,3.36,NA,233.56,NA,NA,NA,NA,938.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,11/12/85,3.7,4.38,35.24,24.74,0.09,13.3,8.3,0.84,4.41,NA,-18.36,NA,NA,NA,NA,3.3,NA,137.09,NA,NA,15.18,NA,875.04,NA,NA,NA,0.28,2.57,1.33,0.41,0.18,0.65,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,1/10/86,3.08,0.39,3,24.04,0.11,NA,3.73,1.51,4.43,NA,NA,NA,NA,NA,NA,5.71,NA,179.86,NA,NA,NA,NA,929.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/10/86,19.2,25,10,15,147,1,1/11/86,1/9/86
TB,2/25/86,2.67,0.1,0.77,23.04,0.17,7.7,1.91,1.98,4.52,NA,12.33,4.02,NA,19.26,NA,1.33,NA,241.6,NA,NA,24.76,NA,950.91,NA,NA,NA,0.27,2.13,1.37,0.42,0.17,0.61,NA,NA,2/25/86,26,40,34,6,147,1,2/26/86,2/24/86
TB,3/31/86,2.46,1.1,8.21,20.19,0.13,12,2.84,1.66,4.63,NA,NA,NA,NA,NA,NA,20.18,NA,191.62,NA,NA,NA,NA,829.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/31/86,0.8,28,22,6,147,1,4/1/86,3/30/86
TB,4/21/86,5.13,2.73,24.2,23,0.09,12.3,4.01,2.97,4.69,NA,3.71,3.11,3.59,18.66,19.18,6.87,NA,269.32,898.94,904.13,32.58,44.72,921.87,889.93,1029.05,0.71,0.25,1.91,1.36,0.38,0.14,0.62,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,5/6/86,6.24,2.72,26.25,NA,0.1,8.5,6.8,2.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,5/21/86,7.37,2.1,21.72,NA,0.1,2.8,4.13,2.72,4.57,NA,NA,3.63,3.7,18.31,18.19,2.87,NA,225.71,765.08,906.65,10.29,24.53,808.1,830.31,803.82,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,6/3/86,8.52,1.72,18.47,NA,0.1,2.7,18.03,6.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,6/16/86,8.74,1.98,21.41,NA,0.11,12.1,8.63,6.66,4.68,NA,NA,3.74,4.21,18.4,18.25,1.23,NA,317.03,758.24,809.86,6.02,15.57,351.11,888.44,923.83,2.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
TB,7/1/86,10.23,1.58,18.24,NA,0.1,2.6,6.61,8.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
